date,architecture,max_energy,current_energy,acc1,acc5,loss
2021-05-13 17:29:42.152301,ResNet,89391696,89391696,33.22170716112532,82.5707320971867,1.9003226345457385
2021-05-13 17:36:57.583297,ResNet,89391696,89391696,55.1414641943734,94.45092710997443,1.2487696381785987
2021-05-13 17:44:37.447558,ResNet,89391696,89391696,63.64290281329923,96.52893222506394,1.0263182548305871
2021-05-13 17:51:46.753964,ResNet,89391696,89391696,68.26086956521739,97.25423593350384,0.9096924639723795
2021-05-13 17:58:57.728082,ResNet,89391696,89391696,71.14010549872123,97.85885549872123,0.8198115889678526
2021-05-13 18:06:10.705714,ResNet,89391696,89391696,73.96539322250639,98.27725383631713,0.7483672538529271
2021-05-13 18:08:12.352809,ResNet,89391696,89391696,69.75903132992327,97.04523657289002,0.9071651890759578
2021-05-13 18:10:13.874164,ResNet,89391696,89391696,69.52325767263427,97.00127877237851,0.9163722807489088
2021-05-13 18:12:15.964311,ResNet,89391696,89391696,69.67591112531969,96.97370524296676,0.9096711814555976
2021-05-13 18:14:17.971582,ResNet,89391696,89391696,69.70628196930946,97.08959398976982,0.9104945745004718
2021-05-13 18:16:20.066188,ResNet,89391696,89391696,69.56281969309462,97.05003196930946,0.9077211437018021
2021-05-13 18:18:29.168881,ResNet,89391696,89391696,69.65153452685422,96.98689258312021,0.9131126249842632
